const,inflection,rate,b_asymptote,pop_density,id
0.017348096396890934,0.018041459940161344,0.005454829569071892,0.9799920354363149,-0.010866619916312572,1KME5471N8497
0.022061968962307582,0.01770650019942395,0.0052187485063886815,1.014859278886189,-0.014741624666329795,1KME5472N8497
0.042908888016601636,0.0166164348037982,0.005198700329251758,0.9735598491949519,0.007367479475360058,1KME5472N8500
-0.013437853579227017,0.022137329720268346,0.00580691351455145,0.8954405569189486,-0.39877982963498143,1KME5473N8479
-0.060383757815602956,0.020566149888187703,0.005580127128932121,0.8993145162437414,-0.10265905118777927,1KME5473N8491
-0.05338871865762971,0.019019658289096287,0.005279103227992571,0.9165246999247031,-0.018372014565923266,1KME5473N8494
-0.03375950420223963,0.018430542752229724,0.005148053342139635,0.9381576747350076,-0.01098021332419636,1KME5473N8495
0.07733028987425655,0.01681064420591713,0.0049022856387044445,1.0096298163244743,-0.004241349791168602,1KME5473N8498
0.06987902592217532,0.01647318118825167,0.0049126555676505595,1.0305156813493352,0.023192590756660345,1KME5473N8499
0.047859839686789044,0.016199115208877835,0.004985228016599286,0.9835718633521582,0.039753075265843846,1KME5473N8500
0.020522160071133496,0.0160453921739907,0.005058308562207664,0.9171039863252394,0.043564741050997814,1KME5473N8501
-0.0003324983671139604,0.015985013700158746,0.005122523291396312,0.8712256622363967,0.01567586682859989,1KME5473N8502
0.00456159249591236,0.015973123649064485,0.005192912817550209,0.8773560050602108,0.012239346891407375,1KME5473N8503
0.017380796047363416,0.022043450672339492,0.005730107140938326,0.9029286463729564,-0.5151620649704707,1KME5474N8484
-0.006578434223908543,0.021862736164878986,0.005699378682900711,0.9036577288859423,-0.40794904458362624,1KME5474N8486
-0.032967980912979894,0.017394073446004844,0.004690675313005607,0.954670298190706,-0.0021840443523512536,1KME5474N8496
0.05832706225511992,0.01632330331397665,0.004594320126187625,0.97983088057667,-0.0032173897877844876,1KME5474N8498
