id,t_const,t_inflection,t_rate,t_b_asymptote,t_pop_density,tfilt_const,tfilt_inflection,tfilt_rate,tfilt_b_asymptote,tfilt_pop_density
1KME5471N8497,0.35316994508428384,0.7015965596012734,0.24994543083015874,12.086925809866601,-0.16517750300742906,0.0,0.0,0.0,12.086925809866601,0.0
1KME5472N8497,0.4385245194206223,0.6883370983952972,0.23904831801298707,10.519940474496005,-0.17687464488135524,0.0,0.0,0.0,10.519940474496005,0.0
1KME5472N8500,0.7217956134940748,0.6485514787850563,0.23884181937788265,11.51005650896497,0.08330651450738041,0.0,0.0,0.0,11.51005650896497,0.0
1KME5473N8479,-0.3099802885677374,0.856425241469856,0.2658888754835141,20.924249545866115,-10.288018522882712,0.0,0.0,0.0,20.924249545866115,-10.288018522882712
1KME5473N8491,-1.6138962450759602,0.7939510752250012,0.2551766944890047,22.046903799002973,-2.2962999474901067,0.0,0.0,0.0,22.046903799002973,0.0
1KME5473N8494,-1.2685424566129775,0.736126091765393,0.2414474780337245,16.439822379261628,-0.3549010499759789,0.0,0.0,0.0,16.439822379261628,0.0
1KME5473N8495,-0.7385806711202375,0.7141159358034532,0.2354508401580419,14.15133264130172,-0.19490557071189943,0.0,0.0,0.0,14.15133264130172,0.0
1KME5473N8498,1.2711877531360587,0.6541630023601471,0.22476438584786723,11.304084148955834,-0.05560979874786062,0.0,0.0,0.0,11.304084148955834,0.0
1KME5473N8499,1.1242406930320124,0.6420972178493477,0.22547567257605647,10.358829244738061,0.1966802067202748,0.0,0.0,0.0,10.358829244738061,0.0
1KME5473N8500,0.7442689716300644,0.6322586617210948,0.22916826972735158,9.154532141703585,0.34544701402290134,0.0,0.0,0.0,9.154532141703585,0.0
1KME5473N8501,0.31285343739196614,0.6270141475027656,0.2327619369341731,7.713669061120873,0.4227900304852448,0.0,0.0,0.0,7.713669061120873,0.0
1KME5473N8502,-0.005070744552627861,0.6252826392848643,0.2358180389131767,6.730464023472933,0.16888117379005407,0.0,0.0,0.0,6.730464023472933,0.0
1KME5473N8503,0.07651258577941951,0.625303433877446,0.23919162771586336,7.313126232811888,0.12333706487230468,0.0,0.0,0.0,7.313126232811888,0.0
1KME5474N8484,0.3032968094023318,0.8510272840968466,0.26192735963889074,19.491174727124907,-8.720391833852972,0.0,0.0,0.0,19.491174727124907,-8.720391833852972
1KME5474N8486,-0.13486150855595344,0.8434406371630317,0.26039535193322105,19.654253770358597,-8.79368149775471,0.0,0.0,0.0,19.654253770358597,-8.79368149775471
1KME5474N8496,-0.745320903036612,0.6742796327717109,0.2145354421394041,12.71422024048445,-0.03465838726896325,0.0,0.0,0.0,12.71422024048445,0.0
1KME5474N8498,1.060445152357999,0.635071326523502,0.21071917923244365,12.433339313741467,-0.045507525214849014,0.0,0.0,0.0,12.433339313741467,0.0
1KME5474N8499,1.0711662740047314,0.623082479154239,0.21376774078092667,10.0143273022709,0.21901756239828382,0.0,0.0,0.0,10.0143273022709,0.0
1KME5474N8500,0.7817375070414097,0.6142616094383985,0.21830334957742722,9.004385501940575,0.2804368455453188,0.0,0.0,0.0,9.004385501940575,0.0
1KME5474N8501,0.2767191410554744,0.6107232094552404,0.22278811872517348,7.756815293081905,0.36826800730059206,0.0,0.0,0.0,7.756815293081905,0.0
1KME5474N8502,-0.12272353006439016,0.6108673203781836,0.22759805919478643,7.023547769449974,0.3334775387065786,0.0,0.0,0.0,7.023547769449974,0.0
1KME5474N8503,-0.19550598877400063,0.6121038506755633,0.23177636061180984,6.814949853170935,0.28923971083247646,0.0,0.0,0.0,6.814949853170935,0.0
1KME5474N8504,0.06783117683455081,0.6139652650495587,0.23526021561240204,7.231293360389073,-0.028811252480824088,0.0,0.0,0.0,7.231293360389073,0.0
1KME5475N8484,0.3793822720260829,0.8499081625585336,0.2565460680359222,18.95536286731412,-8.038524243861275,0.0,0.0,0.0,18.95536286731412,-8.038524243861275
1KME5475N8487,-0.27493722104455903,0.8360797270671612,0.25230239106024793,20.212602184267936,-8.197401299859528,0.0,0.0,0.0,20.212602184267936,-8.197401299859528
1KME5475N8490,-1.644612267583034,0.8007077575237053,0.2421649521046637,22.15700220871963,-3.2333744291758575,0.0,0.0,0.0,22.15700220871963,-3.2333744291758575
